"x","y","text","color"
"0.9630676069054979","0.22827938330686504","x: 0.96<br>y: 0.23<br>z: 19","19.0"
"0.9630676069054979","0.660865931016522","x: 0.96<br>y: 0.66<br>z: 61","61.0"
"0.9630676069054979","1.0934524787261795","x: 0.96<br>y: 1.09<br>z: 87","87.0"
"0.9630676069054979","1.5260390264358363","x: 0.96<br>y: 1.53<br>z: 85","85.0"
"0.9630676069054979","1.9586255741454937","x: 0.96<br>y: 1.96<br>z: 77","77.0"
"0.9630676069054979","2.3912121218551508","x: 0.96<br>y: 2.39<br>z: 28","28.0"
"0.9630676069054979","2.8237986695648085","x: 0.96<br>y: 2.82<br>z: 7","7.0"
"0.9630676069054979","3.256385217274465","x: 0.96<br>y: 3.26<br>z: 1","1.0"
"1.1112447127099412","-0.20430716440279206","x: 1.11<br>y: -0.20<br>z: 2","2.0"
"1.1112447127099412","0.22827938330686504","x: 1.11<br>y: 0.23<br>z: 10","10.0"
"1.1112447127099412","0.660865931016522","x: 1.11<br>y: 0.66<br>z: 34","34.0"
"1.1112447127099412","1.0934524787261795","x: 1.11<br>y: 1.09<br>z: 81","81.0"
"1.1112447127099412","1.5260390264358363","x: 1.11<br>y: 1.53<br>z: 76","76.0"
"1.1112447127099412","1.9586255741454937","x: 1.11<br>y: 1.96<br>z: 44","44.0"
"1.1112447127099412","2.3912121218551508","x: 1.11<br>y: 2.39<br>z: 22","22.0"
"1.1112447127099412","2.8237986695648085","x: 1.11<br>y: 2.82<br>z: 4","4.0"
"1.1112447127099412","3.256385217274465","x: 1.11<br>y: 3.26<br>z: 1","1.0"
"1.259421818514385","-0.20430716440279206","x: 1.26<br>y: -0.20<br>z: 3","3.0"
"1.259421818514385","0.22827938330686504","x: 1.26<br>y: 0.23<br>z: 16","16.0"
"1.259421818514385","0.660865931016522","x: 1.26<br>y: 0.66<br>z: 43","43.0"
"1.259421818514385","1.0934524787261795","x: 1.26<br>y: 1.09<br>z: 52","52.0"
"1.259421818514385","1.5260390264358363","x: 1.26<br>y: 1.53<br>z: 45","45.0"
"1.259421818514385","1.9586255741454937","x: 1.26<br>y: 1.96<br>z: 30","30.0"
"1.259421818514385","2.3912121218551508","x: 1.26<br>y: 2.39<br>z: 9","9.0"
"1.259421818514385","2.8237986695648085","x: 1.26<br>y: 2.82<br>z: 2","2.0"
"1.407598924318829","-0.20430716440279206","x: 1.41<br>y: -0.20<br>z: 2","2.0"
"1.407598924318829","0.22827938330686504","x: 1.41<br>y: 0.23<br>z: 15","15.0"
"1.407598924318829","0.660865931016522","x: 1.41<br>y: 0.66<br>z: 28","28.0"
"1.407598924318829","1.0934524787261795","x: 1.41<br>y: 1.09<br>z: 42","42.0"
"1.407598924318829","1.5260390264358363","x: 1.41<br>y: 1.53<br>z: 33","33.0"
"1.407598924318829","1.9586255741454937","x: 1.41<br>y: 1.96<br>z: 12","12.0"
"1.407598924318829","2.3912121218551508","x: 1.41<br>y: 2.39<br>z: 3","3.0"
"1.5557760301232724","-0.6368937121124493","x: 1.56<br>y: -0.64<br>z: 2","2.0"
"1.5557760301232724","-0.20430716440279206","x: 1.56<br>y: -0.20<br>z: 6","6.0"
"1.5557760301232724","0.22827938330686504","x: 1.56<br>y: 0.23<br>z: 9","9.0"
"1.5557760301232724","0.660865931016522","x: 1.56<br>y: 0.66<br>z: 28","28.0"
"1.5557760301232724","1.0934524787261795","x: 1.56<br>y: 1.09<br>z: 20","20.0"
"1.5557760301232724","1.5260390264358363","x: 1.56<br>y: 1.53<br>z: 9","9.0"
"1.5557760301232724","1.9586255741454937","x: 1.56<br>y: 1.96<br>z: 8","8.0"
"1.5557760301232724","2.3912121218551508","x: 1.56<br>y: 2.39<br>z: 2","2.0"
"1.7039531359277162","-1.0694802598221065","x: 1.70<br>y: -1.07<br>z: 1","1.0"
"1.7039531359277162","-0.6368937121124493","x: 1.70<br>y: -0.64<br>z: 2","2.0"
"1.7039531359277162","-0.20430716440279206","x: 1.70<br>y: -0.20<br>z: 7","7.0"
"1.7039531359277162","0.22827938330686504","x: 1.70<br>y: 0.23<br>z: 9","9.0"
"1.7039531359277162","0.660865931016522","x: 1.70<br>y: 0.66<br>z: 12","12.0"
"1.7039531359277162","1.0934524787261795","x: 1.70<br>y: 1.09<br>z: 15","15.0"
"1.7039531359277162","1.5260390264358363","x: 1.70<br>y: 1.53<br>z: 8","8.0"
"1.7039531359277162","1.9586255741454937","x: 1.70<br>y: 1.96<br>z: 1","1.0"
"1.8521302417321601","-0.6368937121124493","x: 1.85<br>y: -0.64<br>z: 1","1.0"
"1.8521302417321601","-0.20430716440279206","x: 1.85<br>y: -0.20<br>z: 8","8.0"
"1.8521302417321601","0.22827938330686504","x: 1.85<br>y: 0.23<br>z: 6","6.0"
"1.8521302417321601","0.660865931016522","x: 1.85<br>y: 0.66<br>z: 9","9.0"
"1.8521302417321601","1.0934524787261795","x: 1.85<br>y: 1.09<br>z: 5","5.0"
"1.8521302417321601","1.9586255741454937","x: 1.85<br>y: 1.96<br>z: 2","2.0"
"1.8521302417321601","2.8237986695648085","x: 1.85<br>y: 2.82<br>z: 1","1.0"
"2.0003073475366033","-1.5020668075317634","x: 2.00<br>y: -1.50<br>z: 1","1.0"
"2.0003073475366033","-0.6368937121124493","x: 2.00<br>y: -0.64<br>z: 3","3.0"
"2.0003073475366033","-0.20430716440279206","x: 2.00<br>y: -0.20<br>z: 1","1.0"
"2.0003073475366033","0.22827938330686504","x: 2.00<br>y: 0.23<br>z: 4","4.0"
"2.0003073475366033","0.660865931016522","x: 2.00<br>y: 0.66<br>z: 4","4.0"
"2.0003073475366033","1.0934524787261795","x: 2.00<br>y: 1.09<br>z: 1","1.0"
"2.1484844533410468","-0.6368937121124493","x: 2.15<br>y: -0.64<br>z: 1","1.0"
"2.1484844533410468","-0.20430716440279206","x: 2.15<br>y: -0.20<br>z: 1","1.0"
